department,systems_used,practices,avg_storage_share,avg_budget_deviation,total_records,cost_management_effectiveness,system_category,strategic_recommendation
Финансы / Контроллинг,"Облачные решения (Yandex Cloud, AWS, GCP)",Не применяются,28.55714285714286,12.757142857142858,7,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Другое,Мониторинг использования ресурсов,22.844444444444445,13.366666666666667,9,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,Локальные (on-premise) решения,FinOps-подход,22.983333333333334,-0.6166666666666663,6,Средняя эффективность,Локальные решения,Эффективные практики — можно масштабировать
IT / Инфраструктура,"BI-платформы (DataLens, Power BI, Tableau)",Контроль вычислительных мощностей,44.375,14.275,4,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,Локальные (on-premise) решения,Не применяются,24.9,19.3,2,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Руководство / Менеджмент,Гибридные (облако + локально),FinOps-подход,22.55,14.900000000000002,4,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Локальные (on-premise) решения,Централизация отчётности,37.925,10.925,4,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,Гибридные (облако + локально),Централизация отчётности,32.5,6.333333333333333,3,Низкая эффективность,Локальные решения,Оптимизация возможна
Аналитика / Data Science,Гибридные (облако + локально),Регулярный аудит неиспользуемых данных,30.988888888888887,7.611111111111111,9,Низкая эффективность,Локальные решения,Оптимизация возможна
Финансы / Контроллинг,Другое,FinOps-подход,27.360000000000003,12.379999999999999,5,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,Другое,Автоматическое масштабирование,31.133333333333336,10.933333333333335,3,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",Централизация отчётности,44.5,7.9,2,Низкая эффективность,Прочие системы,Оптимизация возможна
IT / Инфраструктура,"Облачные решения (Yandex Cloud, AWS, GCP)",Централизация отчётности,27.416666666666668,10.199999999999998,6,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",Контроль вычислительных мощностей,28.025000000000002,11.075,4,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,Озеро данных (Data Lake),Централизация отчётности,18.633333333333333,18.266666666666666,3,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,Озеро данных (Data Lake),Регулярный аудит неиспользуемых данных,23.833333333333332,11.299999999999999,3,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,Другое,Регулярный аудит неиспользуемых данных,36.349999999999994,12.483333333333334,6,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Озеро данных (Data Lake),Не применяются,28.38181818181818,13.054545454545455,11,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,Другое,Не применяются,31.82,19.540000000000003,5,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Другое,"Облачные решения (Yandex Cloud, AWS, GCP)",Централизация отчётности,43.349999999999994,13.5,2,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,Озеро данных (Data Lake),Не применяются,28.200000000000003,6.55,4,Низкая эффективность,Озера данных,Оптимизация возможна
Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",Регулярный аудит неиспользуемых данных,34.900000000000006,13.966666666666665,9,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,"Облачные решения (Yandex Cloud, AWS, GCP)",Автоматическое масштабирование,24.850000000000005,21.016666666666666,6,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,Другое,Мониторинг использования ресурсов,31.4,21.15,2,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,Озеро данных (Data Lake),Не применяются,24.5,15.159999999999997,5,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",FinOps-подход,28.01,12.760000000000002,10,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,"Облачные решения (Yandex Cloud, AWS, GCP)",Мониторинг использования ресурсов,26.233333333333334,12.383333333333333,6,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,Другое,Регулярный аудит неиспользуемых данных,30.085714285714282,11.528571428571428,7,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,"BI-платформы (DataLens, Power BI, Tableau)",Автоматическое масштабирование,34.525,21.150000000000002,4,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,Другое,Контроль вычислительных мощностей,24.8,48.06666666666666,3,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Другое,Гибридные (облако + локально),FinOps-подход,37.5,10,2,Низкая эффективность,Локальные решения,Оптимизация возможна
Аналитика / Data Science,Локальные (on-premise) решения,Автоматическое масштабирование,30.716666666666665,10.966666666666669,6,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Озеро данных (Data Lake),FinOps-подход,37.357142857142854,12.685714285714287,7,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,Локальные (on-premise) решения,Автоматическое масштабирование,33.05,6.975,4,Низкая эффективность,Локальные решения,Оптимизация возможна
Финансы / Контроллинг,Другое,Не применяются,28.2,14.5,3,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,"Облачные решения (Yandex Cloud, AWS, GCP)",FinOps-подход,35.3,7.25,2,Низкая эффективность,Облачные решения,Оптимизация возможна
Другое,Озеро данных (Data Lake),Мониторинг использования ресурсов,25.9,5.4,2,Низкая эффективность,Озера данных,Оптимизация возможна
Аналитика / Data Science,"BI-платформы (DataLens, Power BI, Tableau)",Не применяются,22.966666666666665,12.716666666666669,6,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,"Облачные решения (Yandex Cloud, AWS, GCP)",Мониторинг использования ресурсов,20.5,22.3,1,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,"BI-платформы (DataLens, Power BI, Tableau)",Автоматическое масштабирование,46.9,6.7,1,Низкая эффективность,Прочие системы,Оптимизация возможна
Операции / Бизнес-подразделение,"Облачные решения (Yandex Cloud, AWS, GCP)",Регулярный аудит неиспользуемых данных,26.833333333333332,39.63333333333333,3,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,Локальные (on-premise) решения,Регулярный аудит неиспользуемых данных,40.36666666666667,8.033333333333333,3,Низкая эффективность,Локальные решения,Оптимизация возможна
Другое,Гибридные (облако + локально),Автоматическое масштабирование,28.9,-2.1,1,Средняя эффективность,Локальные решения,Эффективные практики — можно масштабировать
Финансы / Контроллинг,Гибридные (облако + локально),Не применяются,18.45,6.5,2,Низкая эффективность,Локальные решения,Оптимизация возможна
Операции / Бизнес-подразделение,Озеро данных (Data Lake),FinOps-подход,37.8,20.2,1,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Руководство / Менеджмент,"BI-платформы (DataLens, Power BI, Tableau)",FinOps-подход,26.2,6.7,1,Низкая эффективность,Прочие системы,Оптимизация возможна
Руководство / Менеджмент,Другое,Контроль вычислительных мощностей,26.1,25.650000000000002,2,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Локальные (on-premise) решения,FinOps-подход,22.771428571428572,9.514285714285714,7,Низкая эффективность,Локальные решения,Оптимизация возможна
Руководство / Менеджмент,"BI-платформы (DataLens, Power BI, Tableau)",Контроль вычислительных мощностей,26.4,19.65,2,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,Озеро данных (Data Lake),Централизация отчётности,34.4,16.1,2,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,Гибридные (облако + локально),Контроль вычислительных мощностей,42.85,9.125,4,Низкая эффективность,Локальные решения,Оптимизация возможна
Аналитика / Data Science,Другое,Мониторинг использования ресурсов,26.839999999999996,6.340000000000001,5,Низкая эффективность,Прочие системы,Оптимизация возможна
Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",Мониторинг использования ресурсов,36.0625,10.525,8,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Гибридные (облако + локально),Не применяются,33.114285714285714,12.142857142857142,7,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",Регулярный аудит неиспользуемых данных,26.91428571428571,13.342857142857142,7,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Руководство / Менеджмент,"BI-платформы (DataLens, Power BI, Tableau)",Централизация отчётности,49.3,25.8,1,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Другое,Другое,Централизация отчётности,36.6,16.8,2,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Озеро данных (Data Lake),Контроль вычислительных мощностей,28.37142857142857,12.214285714285714,7,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,Гибридные (облако + локально),FinOps-подход,25.825000000000003,9.85,4,Низкая эффективность,Локальные решения,Оптимизация возможна
IT / Инфраструктура,Локальные (on-premise) решения,Мониторинг использования ресурсов,17.65,0,2,Средняя эффективность,Локальные решения,Оптимизация возможна
Финансы / Контроллинг,"BI-платформы (DataLens, Power BI, Tableau)",FinOps-подход,18.94,10.459999999999999,5,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,"Облачные решения (Yandex Cloud, AWS, GCP)",Автоматическое масштабирование,39.266666666666666,14.533333333333333,3,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,Другое,Централизация отчётности,87.6,0.7,1,Средняя эффективность,Прочие системы,Оптимизация возможна
Разработка / Продукты,Гибридные (облако + локально),Централизация отчётности,28.942857142857143,11.414285714285715,7,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Руководство / Менеджмент,Озеро данных (Data Lake),FinOps-подход,24.5,20.950000000000003,2,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,Озеро данных (Data Lake),Не применяются,27.433333333333337,8.266666666666667,3,Низкая эффективность,Озера данных,Оптимизация возможна
Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",FinOps-подход,22.525,17.75,4,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,Озеро данных (Data Lake),Мониторинг использования ресурсов,29.4,23,1,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Руководство / Менеджмент,"Облачные решения (Yandex Cloud, AWS, GCP)",Контроль вычислительных мощностей,29.366666666666664,12.733333333333334,3,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,Локальные (on-premise) решения,Контроль вычислительных мощностей,34,13.780000000000001,5,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",Контроль вычислительных мощностей,28.685714285714287,8.471428571428572,7,Низкая эффективность,Облачные решения,Оптимизация возможна
Операции / Бизнес-подразделение,Гибридные (облако + локально),Централизация отчётности,22.900000000000002,6.433333333333333,3,Низкая эффективность,Локальные решения,Оптимизация возможна
Операции / Бизнес-подразделение,Озеро данных (Data Lake),Регулярный аудит неиспользуемых данных,38.5,-4.3,1,Средняя эффективность,Озера данных,Эффективные практики — можно масштабировать
Финансы / Контроллинг,"BI-платформы (DataLens, Power BI, Tableau)",Контроль вычислительных мощностей,23.4,6.450000000000001,2,Низкая эффективность,Прочие системы,Оптимизация возможна
Финансы / Контроллинг,Другое,Централизация отчётности,28.9,15.825,4,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Локальные (on-premise) решения,Не применяются,31.849999999999998,15.05,8,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,Озеро данных (Data Lake),Контроль вычислительных мощностей,32.800000000000004,18.166666666666668,6,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Руководство / Менеджмент,Локальные (on-premise) решения,Не применяются,26.333333333333332,10.9,3,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Гибридные (облако + локально),Контроль вычислительных мощностей,28.200000000000006,13.614285714285716,7,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,"Облачные решения (Yandex Cloud, AWS, GCP)",Автоматическое масштабирование,32.760000000000005,12.8,5,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Руководство / Менеджмент,Озеро данных (Data Lake),Не применяются,20.4,13.1,1,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,Локальные (on-premise) решения,Централизация отчётности,38.300000000000004,5.466666666666666,3,Низкая эффективность,Локальные решения,Оптимизация возможна
Аналитика / Data Science,Другое,Автоматическое масштабирование,30.15555555555555,15.866666666666667,9,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Другое,Автоматическое масштабирование,27.05,14.633333333333335,6,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Руководство / Менеджмент,Другое,Регулярный аудит неиспользуемых данных,26.3,14.399999999999999,2,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,"BI-платформы (DataLens, Power BI, Tableau)",Регулярный аудит неиспользуемых данных,31.442857142857147,11.985714285714284,7,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,Озеро данных (Data Lake),Мониторинг использования ресурсов,36,5.583333333333333,6,Низкая эффективность,Озера данных,Оптимизация возможна
Руководство / Менеджмент,Локальные (on-premise) решения,Регулярный аудит неиспользуемых данных,57.6,2.5,1,Средняя эффективность,Локальные решения,Оптимизация возможна
Аналитика / Data Science,Локальные (on-premise) решения,Контроль вычислительных мощностей,37.6,18.5,1,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,Локальные (on-premise) решения,Централизация отчётности,26.725,16.175,4,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,"Облачные решения (Yandex Cloud, AWS, GCP)",Не применяются,28.65,9.4,2,Низкая эффективность,Облачные решения,Оптимизация возможна
Финансы / Контроллинг,Озеро данных (Data Lake),Мониторинг использования ресурсов,28.625,9.524999999999999,4,Низкая эффективность,Озера данных,Оптимизация возможна
Операции / Бизнес-подразделение,Другое,Регулярный аудит неиспользуемых данных,32.15,13.725,4,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Гибридные (облако + локально),FinOps-подход,29.95714285714286,15.542857142857143,7,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,Гибридные (облако + локально),Мониторинг использования ресурсов,21.380000000000003,17.28,5,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,Озеро данных (Data Lake),Контроль вычислительных мощностей,43.65,11.5,2,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,Озеро данных (Data Lake),FinOps-подход,30.96666666666667,17.366666666666664,6,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Руководство / Менеджмент,Другое,Автоматическое масштабирование,27.399999999999995,17.53333333333333,3,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Другое,Гибридные (облако + локально),Регулярный аудит неиспользуемых данных,32.8,15.3,1,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Озеро данных (Data Lake),Регулярный аудит неиспользуемых данных,25.45,7.116666666666667,6,Низкая эффективность,Озера данных,Оптимизация возможна
Аналитика / Data Science,Озеро данных (Data Lake),Автоматическое масштабирование,33.25,18.200000000000003,6,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,Локальные (on-premise) решения,Автоматическое масштабирование,33.4,4.5,2,Средняя эффективность,Локальные решения,Оптимизация возможна
IT / Инфраструктура,Другое,Централизация отчётности,22.16,5.2,5,Низкая эффективность,Прочие системы,Оптимизация возможна
Операции / Бизнес-подразделение,"Облачные решения (Yandex Cloud, AWS, GCP)",Контроль вычислительных мощностей,33.7,15.45,2,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,"Облачные решения (Yandex Cloud, AWS, GCP)",FinOps-подход,40.533333333333324,14.25,6,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,Озеро данных (Data Lake),Не применяются,23.049999999999997,13.337500000000002,8,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Другое,FinOps-подход,30.1,8.899999999999999,4,Низкая эффективность,Прочие системы,Оптимизация возможна
Другое,"BI-платформы (DataLens, Power BI, Tableau)",Регулярный аудит неиспользуемых данных,24.366666666666664,5.333333333333333,3,Низкая эффективность,Прочие системы,Оптимизация возможна
Аналитика / Data Science,Гибридные (облако + локально),Мониторинг использования ресурсов,24.650000000000002,11.6,6,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Другое,"Облачные решения (Yandex Cloud, AWS, GCP)",Не применяются,29.799999999999997,6.133333333333333,3,Низкая эффективность,Облачные решения,Оптимизация возможна
Руководство / Менеджмент,Гибридные (облако + локально),Контроль вычислительных мощностей,46.55,12.8,2,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Озеро данных (Data Lake),Мониторинг использования ресурсов,36.074999999999996,5.862499999999999,8,Низкая эффективность,Озера данных,Оптимизация возможна
Разработка / Продукты,Озеро данных (Data Lake),Централизация отчётности,26.099999999999998,9.75,6,Низкая эффективность,Озера данных,Оптимизация возможна
Финансы / Контроллинг,Локальные (on-premise) решения,Регулярный аудит неиспользуемых данных,33.666666666666664,10.200000000000001,3,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",Мониторинг использования ресурсов,30.25,13.833333333333334,6,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Руководство / Менеджмент,Гибридные (облако + локально),Централизация отчётности,34.8,23.2,1,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Руководство / Менеджмент,Гибридные (облако + локально),Не применяются,8,6.2,1,Низкая эффективность,Локальные решения,Оптимизация возможна
Разработка / Продукты,Другое,Автоматическое масштабирование,15.3,15.7,1,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,Озеро данных (Data Lake),Регулярный аудит неиспользуемых данных,25.700000000000003,11.200000000000001,6,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,"Облачные решения (Yandex Cloud, AWS, GCP)",Централизация отчётности,16.35,9.65,2,Низкая эффективность,Облачные решения,Оптимизация возможна
Руководство / Менеджмент,"BI-платформы (DataLens, Power BI, Tableau)",Мониторинг использования ресурсов,23.2,27.8,1,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,Локальные (on-premise) решения,Не применяются,34.675,6.275,4,Низкая эффективность,Локальные решения,Оптимизация возможна
Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",Не применяются,28.75,7.85,2,Низкая эффективность,Облачные решения,Оптимизация возможна
Аналитика / Data Science,Другое,FinOps-подход,21.7,18.566666666666666,3,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Другое,Озеро данных (Data Lake),Автоматическое масштабирование,41.65,9.65,2,Низкая эффективность,Озера данных,Оптимизация возможна
Другое,"Облачные решения (Yandex Cloud, AWS, GCP)",FinOps-подход,40.8,14.8,1,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Руководство / Менеджмент,Озеро данных (Data Lake),Автоматическое масштабирование,31.45,7.7,2,Низкая эффективность,Озера данных,Оптимизация возможна
Разработка / Продукты,Другое,Не применяются,29.383333333333336,2.433333333333333,6,Средняя эффективность,Прочие системы,Оптимизация возможна
Другое,"BI-платформы (DataLens, Power BI, Tableau)",Мониторинг использования ресурсов,31.65,8,2,Низкая эффективность,Прочие системы,Оптимизация возможна
Аналитика / Data Science,"BI-платформы (DataLens, Power BI, Tableau)",Контроль вычислительных мощностей,35.385714285714286,3.6571428571428575,7,Средняя эффективность,Прочие системы,Оптимизация возможна
Операции / Бизнес-подразделение,"Облачные решения (Yandex Cloud, AWS, GCP)",Не применяются,23.75,38,2,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
